participant_id,sex,age,height_in,survey_weight
130378,male,43,70.7,54374.464
130379,male,66,68.6,34084.722
130380,female,44,60.2,81196.278
130386,male,34,68.2,39988.453
130387,female,68,61.4,20776.255
130388,female,27,66.2,30329.536
130389,male,59,66.5,38984.868
130390,female,31,64.3,56314.157
130391,female,33,68.0,60330.824
130392,female,74,59.6,29427.775
130393,male,39,69.1,55085.708
130394,male,51,69.8,51305.024
130395,female,33,62.7,21603.418
130396,female,56,61.0,43795.713
130397,female,67,63.7,38037.401
130398,male,47,62.8,62720.642
130399,male,68,69.6,43156.699
130400,male,26,63.1,173951.062
130404,female,73,67.6,26881.751
130406,female,26,65.2,90097.054
130407,female,73,60.9,17210.974
130408,male,80,63.1,19536.582
130409,male,68,71.3,59547.433
130413,female,67,56.9,18187.081
130415,female,61,60.1,39547.472
130416,female,59,60.7,13043.793
130418,male,53,68.6,60572.008
130422,male,66,66.9,43734.596
130425,female,68,62.2,16236.772
130426,male,67,63.0,10978.367
130430,female,27,66.3,128693.107
130431,female,80,57.4,40949.225
130434,male,54,70.7,23096.419
130436,male,50,67.6,44685.662
130437,female,43,62.2,37632.966
130438,male,63,66.3,54924.19
130441,female,33,64.4,31895.774
130442,male,43,67.2,32666.194
130443,male,41,73.9,111045.836
130444,female,77,65.2,35803.714
130449,female,26,66.8,21770.591
130450,male,54,64.3,48188.908
130453,male,70,73.8,44795.615
130456,female,24,63.3,94228.198
130457,female,38,61.9,19115.039
130461,female,71,63.3,16455.818
130465,male,77,66.5,64497.908
130466,male,69,65.8,38153.603
130467,male,53,66.9,44019.42
130473,female,26,62.2,49391.984
130474,female,55,64.9,48654.929
130475,female,55,64.2,31810.799
130477,male,50,66.3,170886.694
130478,female,69,59.5,13220.966
130484,female,22,65.0,18002.06
130489,male,57,63.4,25517.843
130491,female,69,64.7,16689.511
130493,female,72,63.1,14538.378
130494,female,73,65.7,20438.412
130495,male,60,66.1,33756.117
130497,male,74,66.5,44117.395
130500,female,60,63.5,40879.07
130502,male,71,69.7,14893.664
130503,male,75,68.0,13326.913
130504,female,67,69.0,13779.265
130506,female,22,67.0,31028.268
130508,female,69,64.1,40404.157
130509,female,51,167.2,76821.383
130515,female,54,61.9,122017.193
130517,male,30,66.1,30349.228
130520,male,29,68.8,90661.703
130522,male,58,67.5,21634.566
130523,female,61,66.7,33222.219
130525,male,70,71.7,26509.921
130527,male,79,62.5,57975.95
130530,female,69,67.2,11683.551
130537,male,62,67.6,24863.028
130538,male,63,64.1,31519.193
130540,female,31,66.2,42841.849
130541,female,30,65.1,42605.502
130545,male,32,72.5,36133.921
130546,male,24,67.4,57025.413
130547,male,78,69.2,22106.135
130550,female,66,63.3,37511.726
130552,female,54,65.2,38223.032
130553,female,28,65.2,99181.607
130555,male,64,70.8,50979.058
130557,male,62,66.7,15228.641
130558,male,69,67.6,19744.372
130559,male,66,70.7,29060.796
130562,female,63,56.1,25978.527
130563,male,78,67.6,17645.513
130566,male,66,64.6,16368.345
130568,female,80,63.5,25266.399
130569,female,47,60.5,26113.845
130570,male,56,63.0,40172.559
130571,female,77,62.1,29710.756
130573,female,65,58.7,10797.984
130574,female,20,62.2,51773.905
130576,male,50,66.2,14579.87
130577,female,61,66.1,28542.76
130578,female,51,66.7,52184.225
130579,male,80,67.0,35664.152
130580,male,51,71.6,14825.219
130582,male,32,70.3,64930.685
130585,male,60,66.4,16452.192
130588,female,32,62.8,37834.238
130590,female,51,59.6,102472.124
130596,female,66,62.8,31762.579
130598,male,60,67.4,23945.793
130599,female,54,58.4,65280.5
130600,male,42,69.3,31894.806
130601,female,56,64.4,28966.955
130603,male,75,69.0,18820.787
130604,female,61,58.1,13111.299
130606,female,29,64.3,102885.601
130607,female,36,63.3,33332.562
130609,female,40,60.6,28663.338
130611,female,70,61.0,38927.812
130616,male,43,67.2,21372.782
130617,female,36,62.1,66746.419
130619,male,27,69.3,92645.194
130621,male,68,70.3,32002.125
130623,female,46,172.0,85913.071
130627,male,73,70.2,61898.731
130628,male,22,72.6,34562.539
130629,male,73,69.2,18486.592
130634,female,51,65.4,58155.891
130636,female,57,60.6,40342.582
130637,male,61,68.0,15943.309
130640,female,31,61.3,71999.312
130642,male,43,67.3,39946.65
130643,male,73,64.0,16114.079
130644,female,30,60.4,10553.107
130645,female,47,67.0,16441.526
130646,female,79,63.7,25381.195
130647,male,65,71.2,15578.061
130651,female,80,63.6,21917.542
130652,male,34,67.4,83629.288
130654,female,72,64.7,18007.186
130655,male,69,67.4,19084.881
130656,female,64,62.0,9553.224
130658,male,69,71.2,18033.876
130662,female,52,61.3,71003.184
130663,female,76,65.2,26350.713
130665,female,55,61.4,27691.668
130666,male,57,71.0,51879.966
130667,male,36,71.1,70219.75
130668,female,34,63.2,78214.351
130670,female,70,60.0,15799.872
130671,female,25,65.6,48574.036
130674,female,68,62.9,27937.895
130676,female,25,62.2,130996.215
130683,female,62,62.4,32454.484
130686,male,58,67.4,18830.509
130687,male,73,68.4,18966.27
130688,female,72,62.7,16362.872
130690,male,61,66.1,40099.254
130691,female,32,65.4,39334.51
130692,female,44,67.1,26297.666
130697,female,20,65.1,45083.956
130701,female,33,62.7,21437.144
130703,female,51,62.8,48557.408
130704,male,66,62.7,10842.18
130705,male,64,71.4,8471.5
130707,female,22,67.5,42114.572
130708,female,58,61.6,66902.106
130710,female,77,67.2,21159.898
130711,female,28,67.6,163540.999
130713,male,69,68.3,23834.35
130715,male,48,68.9,58957.823
130717,female,68,64.9,30833.586
130718,male,65,66.4,20362.124
130720,female,46,62.7,52130.961
130722,female,62,67.0,17970.133
130723,male,76,62.2,25924.376
130730,female,76,65.5,45781.036
130734,male,40,72.8,13675.765
130739,male,64,63.7,19333.845
130742,female,62,64.6,15515.499
130743,male,80,65.9,38866.185
130744,female,33,167.3,53225.196
130745,female,38,59.9,44208.982
130746,female,45,62.1,47439.546
130752,female,68,62.6,8991.695
130754,male,62,69.2,74146.297
130759,male,65,68.9,15228.641
130760,male,36,69.6,52922.572
130761,female,43,63.8,21736.195
130762,female,28,64.0,70185.72
130766,male,80,67.8,35641.52
130767,female,70,60.0,13102.733
130768,female,71,61.0,13852.808
130769,male,22,73.0,78574.294
130771,male,57,73.6,48644.128
130774,female,50,60.3,33113.317
130775,male,67,72.3,20888.231
130776,female,40,58.5,14065.01
130777,male,30,73.2,58410.745
130780,female,58,66.2,15053.154
130781,male,66,69.5,6911.401
130782,male,43,68.2,19925.239
130785,male,33,71.4,28532.828
130786,female,73,69.8,15258.768
130788,male,39,73.9,73305.477
130791,female,52,64.4,14038.683
130793,male,71,67.4,71396.56
130796,male,47,66.9,38096.784
130797,male,73,68.7,43577.659
130799,female,47,64.1,138130.736
130800,female,28,60.4,33008.497
130801,male,56,67.0,12146.574
130802,female,63,65.7,13220.966
130804,male,52,65.2,32658.2
130805,female,35,64.6,30241.548
130806,female,77,58.9,12084.306
130807,female,60,63.1,13691.784
130810,male,69,67.0,37278.632
130811,male,59,66.5,31355.738
130815,male,51,73.2,13017.475
130818,female,36,71.9,35170.197
130826,female,79,61.3,19180.972
130827,male,33,69.4,49989.009
130828,female,22,171.5,90422.826
130829,female,73,62.2,33433.828
130830,male,62,69.6,31284.485
130832,female,63,63.9,30846.239
130833,female,42,63.5,83333.458
130835,female,45,65.8,35779.023
130836,male,61,73.1,24473.287
130838,male,60,69.5,58793.394
130841,female,79,64.0,14426.335
130842,male,27,68.9,42601.063
130843,male,46,71.9,71289.06
130845,male,72,69.3,10133.807
130847,male,74,66.9,32148.205
130848,female,33,65.0,43221.706
130856,male,80,66.3,63124.088
130861,female,78,59.4,21412.893
130863,male,80,71.2,32074.275
130864,male,52,69.8,23042.957
130865,female,65,66.5,15999.729
130867,female,49,60.2,67169.125
130868,male,23,66.5,41445.309
130871,female,65,60.3,11502.038
130875,male,71,66.6,14788.13
130878,female,39,58.9,77591.857
130879,female,30,63.3,68891.626
130880,male,67,68.9,56919.762
130881,female,46,66.5,73609.108
130882,male,60,74.1,23162.489
130883,female,40,59.6,92274.23
130884,female,64,66.1,37121.526
130890,male,28,69.6,90440.798
130892,female,70,66.5,34702.532
130893,female,46,64.7,64422.924
130895,female,34,63.3,82393.292
130897,male,29,68.1,77622.508
130899,female,51,65.6,62131.219
130900,female,49,58.5,25163.574
130901,female,79,60.0,34994.343
130904,male,28,69.9,113892.655
130908,male,57,68.9,25147.679
130910,male,32,68.7,33991.177
130911,female,67,58.1,16311.631
130912,female,43,65.7,17488.959
130913,male,37,69.2,30596.855
130915,male,31,68.7,35276.227
130918,male,44,68.9,39879.285
130920,female,52,67.8,64193.699
130921,male,37,71.2,24725.575
130922,female,44,64.9,35178.443
130923,female,77,63.9,16715.355
130924,female,41,67.1,43505.737
130926,female,66,57.5,25801.664
130930,male,62,65.6,27185.462
130931,male,61,70.3,17244.327
130932,male,49,71.5,46195.605
130933,male,23,66.5,59491.852
130934,male,37,69.2,84671.689
130935,male,32,69.5,61276.48
130936,female,63,64.8,41004.317
130938,male,80,68.1,13873.548
130939,female,33,65.2,54766.302
130941,female,45,70.2,60116.596
130942,male,65,67.2,7708.174
130943,female,70,62.8,28537.14
130944,female,30,63.3,24487.14
130945,female,80,57.1,22003.081
130947,female,66,58.7,31958.937
130948,female,80,59.9,14987.276
130950,female,60,68.1,25964.137
130951,female,27,62.9,40640.049
130952,male,32,70.1,56773.464
130956,male,43,77.0,54726.179
130960,female,69,62.6,10132.617
130961,male,29,72.4,78681.3
130964,female,58,67.6,18577.706
130966,female,51,63.1,11511.917
130968,female,35,64.7,46038.376
130970,male,76,67.3,33057.824
130972,female,37,65.9,20768.74
130974,male,43,66.8,27920.285
130975,male,34,69.4,18457.483
130977,male,59,70.4,29078.217
130978,male,75,72.9,63314.661
130980,male,71,66.7,23476.359
130981,female,51,63.7,24582.979
130982,female,71,63.9,25608.765
130983,female,50,61.4,80842.769
130985,male,23,70.9,36338.002
130986,male,62,69.8,26802.994
130992,male,28,69.6,32921.843
130995,female,33,59.1,49215.636
131000,female,52,62.2,45110.021
131001,female,23,65.0,46771.895
131002,female,63,62.5,30220.5
131005,male,64,71.4,41880.35
131006,female,34,66.8,17049.135
131007,female,67,60.9,18464.945
131010,female,73,61.7,37681.492
131012,male,58,72.9,116541.233
131013,male,64,71.5,43196.268
131014,male,73,67.5,31753.268
131016,male,37,68.7,20311.068
131017,female,36,64.4,71276.365
131019,female,46,60.2,60424.783
131023,female,66,62.2,14223.193
131025,female,29,64.9,39483.827
131031,female,25,66.4,77700.553
131033,female,63,61.5,24414.328
131034,female,31,65.9,25479.744
131038,female,40,61.6,15794.796
131041,male,80,69.4,40201.565
131042,female,60,66.9,60593.578
131044,female,64,65.6,33222.219
131046,male,43,73.2,125682.27
131050,male,75,63.1,9118.196
131051,male,62,70.3,7905.38
131052,female,80,60.5,33983.359
131053,female,58,65.3,22052.434
131054,male,56,70.1,11821.199
131056,female,35,66.1,58468.483
131057,male,80,67.8,25358.881
131058,male,55,68.0,42056.067
131059,male,70,65.3,28651.323
131060,female,36,66.8,19437.545
131061,male,72,65.9,18950.826
131063,female,37,62.3,21451.026
131065,male,65,63.5,41642.004
131066,male,60,72.5,13865.28
131070,male,39,70.1,110152.159
131073,male,63,68.8,16155.413
131075,male,61,67.6,45781.897
131077,male,47,66.7,30745.803
131079,male,38,71.8,39207.014
131082,female,31,63.0,35119.857
131083,female,52,61.3,26402.539
131084,female,36,63.0,62309.086
131085,male,80,68.2,19821.929
131093,male,36,68.2,28887.043
131094,female,26,66.2,31606.974
131095,female,50,66.4,35066.811
131097,female,75,62.6,26786.149
131098,female,65,55.9,8825.873
131099,female,62,61.6,28964.788
131100,female,70,63.1,50177.051
131102,female,32,64.8,34345.561
131106,female,57,68.3,76665.119
131108,female,68,62.9,12974.175
131109,male,67,70.9,22281.045
131112,male,42,70.4,68169.088
131117,male,61,68.2,67761.85
131118,male,73,72.6,26236.063
131120,female,62,62.2,17705.263
131121,female,80,61.7,32190.379
131122,female,51,64.2,52739.39
131124,male,80,67.9,86701.804
131126,male,76,71.6,23799.971
131127,male,54,72.4,24310.249
131129,female,69,66.0,24421.256
131130,female,75,68.4,25603.01
131131,male,55,68.6,11349.793
131132,male,80,65.5,30841.606
131135,female,64,62.0,18555.968
131137,female,67,61.5,35321.179
131139,female,40,63.8,33772.423
131144,female,43,65.0,55152.844
131147,female,25,62.4,95835.021
131148,male,66,70.1,17918.676
131153,female,51,67.8,20815.899
131155,male,59,68.3,170886.694
131156,female,33,58.0,30786.888
131157,female,80,59.5,26516.806
131159,male,56,68.6,11215.306
131160,male,43,73.2,55791.245
131163,male,34,68.3,48881.799
131164,male,27,71.1,62343.656
131169,female,78,63.1,34443.1
131172,male,74,70.7,37751.509
131177,female,79,63.8,17865.513
131178,female,65,65.0,17682.599
131180,female,73,62.2,21510.652
131181,female,32,61.8,104560.614
131183,female,75,62.8,14043.453
131187,male,59,169.7,14122.067
131191,female,65,61.9,15926.159
131193,male,71,65.9,29797.775
131194,male,49,65.2,29290.422
131195,female,48,65.7,17744.924
131196,male,23,67.4,75402.78
131197,male,59,68.7,123568.691
131200,female,32,63.2,119853.263
131202,male,80,67.8,12618.406
131203,female,78,62.8,43046.733
131204,female,64,61.4,22060.06
131205,female,62,65.0,34568.444
131208,male,61,72.9,29281.685
131209,female,20,66.1,54244.855
131211,female,30,65.7,49334.922
131215,female,68,56.0,20517.069
131220,male,35,73.5,18653.06
131225,female,32,63.1,21434.864
131227,male,70,62.9,25271.936
131228,male,61,69.7,13163.133
131229,female,58,61.8,15272.382
131234,female,67,63.0,10197.236
131238,male,44,73.1,83158.374
131240,female,48,60.6,22367.359
131241,male,58,68.7,45948.753
131242,female,35,63.6,53946.335
131245,female,63,63.3,12974.852
131248,female,20,65.6,62339.816
131249,female,52,68.4,23215.379
131251,female,65,60.8,18954.827
131254,female,53,58.5,17447.284
131256,male,22,73.1,90468.845
131258,male,41,72.2,67203.926
131263,male,48,71.6,25760.072
131264,female,36,66.1,20474.537
131268,female,42,63.1,35397.741
131269,male,33,64.8,33959.489
131270,female,62,61.8,12801.799
131271,male,55,70.5,121668.552
131273,male,63,70.3,25362.466
131277,female,39,64.1,83646.203
131283,male,24,74.0,45985.743
131284,male,72,64.0,45963.189
131287,female,67,62.8,23584.37
131290,male,38,70.3,28514.197
131291,female,62,65.4,14259.601
131292,male,57,64.5,21238.965
131293,female,51,61.3,58150.067
131294,female,69,63.9,16967.635
131296,male,39,71.6,36547.076
131298,male,36,70.9,13736.585
131299,male,65,69.1,18669.805
131300,female,41,63.7,22545.501
131301,male,35,71.3,19686.57
131302,female,56,63.5,86810.946
131305,male,23,73.0,43663.171
131307,female,73,62.8,20754.63
131308,male,32,72.0,67467.121
131309,female,22,64.1,65633.77
131310,male,45,73.9,93084.866
131312,female,80,60.4,14346.774
131315,female,61,60.5,35086.829
131318,female,58,61.0,17304.088
131322,female,70,61.7,17513.058
131323,female,27,64.6,59019.778
131324,male,80,69.2,10993.009
131326,male,63,69.5,17850.357
131327,female,63,61.1,13680.425
131328,male,62,67.2,15265.795
131331,female,77,63.2,23524.276
131332,female,42,60.6,13187.426
131333,male,76,72.2,32341.993
131334,female,28,68.3,32991.663
131337,male,36,67.6,138507.57
131339,male,74,70.4,14567.332
131340,male,60,66.3,31362.277
131341,female,36,63.7,31808.323
131342,female,61,60.2,22136.803
131347,male,68,67.5,18538.653
131349,female,56,65.4,18737.092
131350,male,66,65.2,18284.885
131351,male,65,74.1,29481.407
131352,male,35,67.7,59003.732
131353,female,56,61.8,46178.27
131359,female,31,64.5,28931.152
131363,female,39,66.5,41048.258
131365,female,63,62.5,22100.604
131366,female,44,68.8,17973.814
131367,female,58,65.7,14336.825
131368,female,74,62.0,16584.659
131369,female,66,59.6,32813.398
131372,female,36,62.7,35492.537
131373,female,65,64.0,15250.119
131381,female,76,64.3,26722.71
131383,female,67,67.6,13277.637
131386,male,35,72.8,42349.377
131389,male,54,68.4,28577.411
131391,female,70,64.6,10530.187
131392,male,59,71.7,81926.965
131393,male,49,67.7,20982.52
131397,male,66,69.6,41186.091
131399,male,48,69.8,31781.504
131401,female,35,64.3,73759.903
131403,female,63,64.0,35649.095
131405,male,22,71.8,102797.572
131410,female,59,63.5,26559.978
131411,female,53,67.7,16842.794
131412,female,21,65.7,112351.761
131414,male,43,74.8,96091.213
131416,female,41,63.1,79432.274
131418,female,76,64.6,43632.516
131419,male,77,168.3,12302.888
131422,male,80,60.7,21483.918
131423,male,77,65.6,58917.593
131426,female,60,61.5,31266.824
131427,male,74,71.5,54398.443
131428,male,71,66.1,30820.584
131431,female,48,60.7,41886.558
131432,male,49,70.3,42580.393
131433,female,25,61.3,30413.16
131437,female,61,61.3,26595.705
131442,male,23,69.2,29426.313
131444,female,23,64.9,120867.219
131446,female,50,65.8,24066.387
131447,male,71,67.9,10960.787
131449,female,79,61.1,13340.231
131450,female,80,64.8,51468.17
131452,female,64,65.6,12116.53
131453,male,27,69.2,156270.07
131455,female,65,64.0,21821.653
131456,male,71,65.6,22669.173
131457,female,73,63.0,17656.075
131458,male,73,73.2,18130.86
131459,female,80,159.9,16516.059
131460,male,49,67.4,106453.778
131461,male,24,71.4,93653.834
131462,female,64,63.3,25994.518
131463,female,35,67.3,47008.951
131464,male,25,71.3,81284.663
131468,male,27,68.3,147803.282
131469,male,21,70.4,46115.764
131471,male,59,72.3,42155.884
131476,female,36,63.3,24324.768
131479,male,32,68.4,29185.386
131481,female,51,66.0,16730.269
131483,female,53,64.6,39435.308
131489,female,23,60.3,33272.657
131491,male,52,71.5,27278.162
131495,female,70,60.7,33961.596
131498,female,41,62.9,11651.128
131501,male,21,69.8,22623.446
131503,male,61,70.8,49426.481
131505,female,68,61.8,28816.885
131507,female,61,60.4,72766.584
131508,female,64,162.3,52183.09
131509,female,45,64.3,34392.706
131510,female,61,60.4,44904.072
131512,female,41,62.6,40411.6
131514,female,70,59.6,43090.614
131518,male,26,69.6,120299.875
131519,male,64,72.2,29991.648
131520,male,47,66.3,12399.501
131521,female,43,61.9,34733.649
131523,male,50,68.0,26535.57
131527,female,59,62.4,24196.716
131528,male,74,68.3,50606.942
131532,female,68,63.4,14449.837
131536,female,59,63.2,9819.065
131540,female,63,64.4,14912.134
131541,female,48,60.7,21520.518
131542,male,31,71.1,189582.538
131544,female,27,59.8,33766.694
131546,male,53,73.1,45946.467
131548,female,50,59.3,103311.832
131549,female,28,60.2,59799.523
131550,female,63,64.9,26221.345
131551,female,65,63.2,22853.522
131553,male,34,67.0,70272.088
131554,female,69,67.3,22308.291
131556,female,66,61.9,45556.901
131557,female,61,63.5,45181.641
131558,male,47,68.7,63378.893
131559,female,80,61.2,25392.338
131560,male,26,69.9,119764.458
131561,female,56,63.6,18495.174
131564,female,45,63.8,34727.939
131565,male,67,68.6,20784.082
131567,female,66,67.0,25041.811
131568,female,52,62.9,34936.609
131569,female,39,63.7,39415.83
131571,male,60,69.8,74425.563
131583,male,57,69.7,32321.972
131584,female,44,63.2,20579.041
131585,male,68,69.9,39199.114
131586,male,48,68.8,82291.367
131588,female,29,61.6,93821.237
131592,male,53,72.6,69475.908
131593,male,64,70.0,36487.612
131594,female,59,56.1,26529.758
131597,male,42,64.2,137269.746
131600,male,62,68.7,32642.208
131602,female,75,63.2,20833.518
131605,female,59,66.1,35685.332
131607,male,56,68.7,92318.408
131610,male,60,68.9,31430.424
131614,female,60,64.6,55907.96
131615,female,35,65.7,102830.777
131616,male,41,69.5,42961.999
131617,female,59,150.2,20040.423
131618,male,45,69.3,26060.002
131619,female,65,63.7,23920.076
131620,male,47,73.7,50045.459
131625,female,78,157.3,34036.412
131626,female,39,66.5,39022.62
131627,male,59,64.7,64921.094
131628,male,72,63.5,35365.873
131629,female,63,65.4,14690.952
131630,male,39,64.8,23677.101
131631,female,59,64.7,45130.982
131637,female,55,60.4,26091.696
131638,male,31,64.3,17130.487
131639,male,63,66.7,21426.846
131642,female,53,68.1,56372.264
131643,male,70,67.8,19641.851
131645,female,34,63.6,33562.178
131646,female,79,61.2,23624.477
131647,male,32,68.0,43127.188
131648,male,44,67.6,153235.695
131649,male,48,73.5,67539.266
131650,male,30,73.1,144194.141
131651,male,46,68.5,61758.069
131654,female,50,62.6,28916.609
131656,female,43,62.9,31188.484
131657,male,20,74.2,113723.463
131658,female,52,61.7,65079.786
131664,male,56,68.7,24022.786
131666,male,58,71.0,12439.4
